number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_softgate_score,attr_softgate_info.Sat,attr_softgate_info.Drift,attr_softgate_info.LagRatio,attr_softgate_info.THD,attr_softgate_info.z_sat,attr_softgate_info.z_drift,attr_softgate_info.z_lag,attr_softgate_info.z_thd,attr_CQ,attr_GR,attr_KR,attr_MC
529,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:25:41.071883,2025-09-06T05:25:41.736477,0.664594,0.2896100085549868,0.47548198619023374,0.04857401066965112,50.0,penalized,0.28933280519471916,0.75,0.19266877922112338,2.4,6.112960378945311,0.25,0.8073312207788766,0.0,0.0,,,,
530,COMPLETE,"[4.0, 4.107675247947753]",2025-09-06T05:25:41.747486,2025-09-06T05:33:43.610607,481.863121,0.01879216904372214,0.2597134142740313,0.026029916894809157,50.0,passed,0.6776104407729359,0.24,0.016652469050481036,0.004,0.15290576785777532,0.76,0.983347530949519,0.020000000000000018,0.8088677901777809,4.0,1.0,5.0,4.107675247947753
531,COMPLETE,"[12.0, 5.167593599281799]",2025-09-06T05:33:43.621617,2025-09-06T05:41:45.319941,481.698324,0.054491652422439966,0.1069671241422181,0.08152992754984996,50.0,passed,0.5819273024891813,0.479,0.037168914553337436,0.036,0.30852187548993715,0.521,0.9628310854466625,0.18000000000000005,0.6143476556375786,12.0,3.0,15.0,5.167593599281799
532,COMPLETE,"[12.0, 4.852241212298948]",2025-09-06T05:41:45.330951,2025-09-06T05:49:47.203224,481.872273,0.054491652422439966,0.13469536692549647,0.08737211181264552,50.0,passed,0.5778184144376586,0.503,0.040683965672550435,0.04,0.30384237657681545,0.497,0.9593160343274496,0.20000000000000007,0.6201970292789807,12.0,3.0,15.0,4.852241212298948
533,COMPLETE,"[11.0, 5.0496524262366025]",2025-09-06T05:49:47.215234,2025-09-06T05:57:49.080509,481.865275,0.054491652422439966,0.15655485837628175,0.074426843336727,50.0,passed,0.5974075725367819,0.458,0.04514924902277461,0.052,0.33202046083009773,0.542,0.9548507509772254,0.2599999999999999,0.5849744239623779,11.0,3.0,14.0,5.0496524262366025
534,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:57:49.091520,2025-09-06T05:57:49.755112,0.663592,0.5038806114390687,0.16888521590617497,0.034430780467640275,50.0,penalized,0.2904557053078853,0.751,0.18677717876845895,2.404,5.449064362650621,0.249,0.8132228212315411,0.0,0.0,,,,
535,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:57:49.767123,2025-09-06T05:57:50.432717,0.665594,0.6387888474453591,0.5484617749051232,0.09068920540348548,50.0,penalized,0.26344555457773877,0.845,0.16321778168904497,2.38,13.397945919847697,0.15500000000000003,0.836782218310955,0.0,0.0,,,,
536,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:57:50.443727,2025-09-06T05:57:51.112324,0.668597,0.07338960168875196,0.13469536692549647,0.026000780829037982,50.0,penalized,0.65955542159503,0.264,0.00017831361988008992,0.152,1.0720627065424742,0.736,0.9998216863801199,0.7599999999999999,0.0,,,,
537,COMPLETE,"[12.0, 4.7301126769694095]",2025-09-06T05:57:51.123334,2025-09-06T06:05:52.461348,481.338014,0.054491652422439966,0.16888521590617497,0.08721827436586217,50.0,passed,0.583519541938805,0.504,0.044532201228221026,0.048,0.30778963101655904,0.496,0.955467798771779,0.23999999999999988,0.6152629612293012,12.0,3.0,15.0,4.7301126769694095
538,COMPLETE,"[12.0, 3.6118061074722645]",2025-09-06T06:05:52.473358,2025-09-06T06:13:54.507029,482.033671,0.054491652422439966,0.5265771536220285,0.074426843336727,50.0,passed,0.6342858458802731,0.393,0.05346442510574411,0.072,0.347192191373163,0.607,0.9465355748942559,0.36,0.5660097607835464,12.0,2.0,14.0,3.6118061074722645
539,COMPLETE,"[19.0, 1.779773219483017]",2025-09-06T06:13:54.519040,2025-09-06T06:21:56.386515,481.867475,0.07897467170455848,0.4083943472670089,0.074426843336727,50.0,passed,0.6306222448738531,0.339,0.04627582307012637,0.116,0.6206351974344616,0.661,0.9537241769298737,0.5800000000000001,0.22420600320692308,19.0,8.0,27.0,1.779773219483017
540,COMPLETE,"[-5.0, -5.0]",2025-09-06T06:21:56.397524,2025-09-06T06:21:57.061118,0.663594,0.6411981145343955,0.14006526568324365,0.06794593232560361,50.0,penalized,0.2813331579616391,0.785,0.17566736815344353,2.08,8.411156743845577,0.21499999999999997,0.8243326318465565,0.0,0.0,,,,
541,COMPLETE,"[5.0, 5.125935156982189]",2025-09-06T06:21:57.073128,2025-09-06T06:29:58.235728,481.1626,0.054491652422439966,0.4578803458692927,0.017766519352954382,50.0,passed,0.6737506667651163,0.203,0.01067567732470847,0.12,0.6901216556148262,0.7969999999999999,0.9893243226752916,0.5999999999999999,0.13734793048146732,5.0,4.0,9.0,5.125935156982189
542,COMPLETE,"[-5.0, -5.0]",2025-09-06T06:29:58.246739,2025-09-06T06:29:58.916337,0.669598,0.28750250793565685,0.1069671241422181,0.06677576414022982,50.0,penalized,0.3022501451303142,0.751,0.13959941947874327,1.188,5.404676603178176,0.249,0.8604005805212567,0.0,0.0,,,,
543,COMPLETE,"[5.0, 6.161217568077339]",2025-09-06T06:29:58.927346,2025-09-06T06:38:00.148023,481.220677,0.054491652422439966,0.1069671241422181,0.03148952991052294,50.0,passed,0.656021361245689,0.247,0.04184377324080592,0.072,0.47627078177643806,0.753,0.9581562267591941,0.36,0.40466152277945244,5.0,4.0,9.0,6.161217568077339
544,COMPLETE,"[-5.0, -5.0]",2025-09-06T06:38:00.161036,2025-09-06T06:38:00.881678,0.720642,0.7404305658292819,0.07716243077609232,0.09149037023390556,50.0,penalized,0.280831904925378,0.797,0.16087238029848772,2.06,8.695685005962543,0.20299999999999996,0.8391276197015123,0.0,0.0,,,,
545,COMPLETE,"[-5.0, -5.0]",2025-09-06T06:38:00.893689,2025-09-06T06:38:01.593315,0.699626,0.6531254656271492,0.15655485837628175,0.0028874105582657014,50.0,penalized,0.35216638169245873,0.555,0.21433447323016483,1.52,2.5239884057630015,0.44499999999999995,0.7856655267698351,0.0,0.0,,,,
