number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
81,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:02:40.798988,2025-09-01T18:03:19.671566,38.872578,0.6208322009924598,0.1426266848580527,0.03064958551208621,50.0,penalized,1.004990015167978,,,,
82,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:03:19.681888,2025-09-01T18:03:58.407340,38.725452,0.1968925538608696,0.2582739206725055,0.09498046637304795,50.0,penalized,1.0072422149519389,,,,
83,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:03:58.417505,2025-09-01T18:04:37.336201,38.918696,0.46985182775083656,0.5088544680525203,0.08130834976234347,50.0,penalized,5.358016824308716,,,,
84,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:04:37.346210,2025-09-01T18:05:16.135673,38.789463,0.4511229957317169,0.033483419404930034,0.03495272088897249,50.0,penalized,1.0053933748179293,,,,
85,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:05:16.146032,2025-09-01T18:05:55.072206,38.926174,0.7314036761965585,0.2649735580962174,0.07974015671441816,50.0,penalized,1.4571399874472735,,,,
86,COMPLETE,"[7.0, 5.11540459751616]",2025-09-01T18:05:55.083671,2025-09-01T18:14:26.708428,511.624757,0.044572779737187235,0.0467625474971101,0.003094954532084707,50.0,passed,0.7761193491192585,7.0,2.0,9.0,5.11540459751616
87,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:14:26.718438,2025-09-01T18:15:05.517286,38.798848,0.7022822387592909,0.48451967160854303,0.08416426920395984,50.0,penalized,1.7868058016490918,,,,
88,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:15:05.528293,2025-09-01T18:15:44.237011,38.708718,0.455228760100856,0.5638836961505994,0.04581360316187373,50.0,penalized,5.447753221336806,,,,
89,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:15:44.247463,2025-09-01T18:16:23.010873,38.76341,0.4511229957317169,0.1789668863807443,0.0710204568699623,50.0,penalized,1.0057274036598611,,,,
90,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:16:23.021883,2025-09-01T18:17:01.708313,38.68643,0.3042864049815268,0.4400706861946073,0.01938514520745046,50.0,penalized,1.61114362503475,,,,
91,COMPLETE,"[2.0, 3.7076207204985137]",2025-09-01T18:17:01.719594,2025-09-01T18:25:33.782712,512.063118,0.018684106259104195,0.4959590876886059,0.010907840833562273,50.0,passed,0.8449014879789621,2.0,1.0,3.0,3.7076207204985137
92,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:25:33.792721,2025-09-01T18:26:12.499147,38.706426,0.5318014679745086,0.11246999339898242,0.06158990740050691,50.0,penalized,1.0058382385239937,,,,
93,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:26:12.510276,2025-09-01T18:26:51.153834,38.643558,0.5093150117518476,0.4937281721317126,0.015542938184157373,50.0,penalized,1.3424018573171934,,,,
