number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
109,COMPLETE,"[142.0, 5.718931169356631]",2025-10-11T01:37:18.024341,2025-10-11T01:45:13.381759,475.357418,0.042406260542984825,0.08950458764696073,0.0056288252888143705,50.0
110,COMPLETE,"[12.0, 0.5232317215571394]",2025-10-11T01:45:13.393769,2025-10-11T01:53:08.554750,475.160981,0.20262341880685308,0.6,0.001,50.0
111,COMPLETE,"[3.0, 0.0]",2025-10-11T01:53:08.565759,2025-10-11T02:01:04.406492,475.840733,0.4374848344871738,0.6,0.001,50.0
112,COMPLETE,"[30.0, 0.9880962975818717]",2025-10-11T02:01:04.416501,2025-10-11T02:09:00.163861,475.74736,0.22702924786849452,0.01,0.001,50.0
113,COMPLETE,"[145.0, 5.038482107301027]",2025-10-11T02:09:00.174870,2025-10-11T02:16:56.247017,476.072147,0.04322054617053855,0.07896699713021467,0.001,50.0
114,COMPLETE,"[7.0, 0.0]",2025-10-11T02:16:56.257026,2025-10-11T02:24:52.129836,475.87281,0.23308029088697416,0.19266845517061373,0.008,50.0
115,COMPLETE,"[157.0, 5.427263290991576]",2025-10-11T02:24:52.142848,2025-10-11T02:32:48.421276,476.278428,0.041738350402499326,0.08623590607830049,0.002969379492665769,50.0
116,COMPLETE,"[147.0, 5.564018420003764]",2025-10-11T02:32:48.432286,2025-10-11T02:40:44.204667,475.772381,0.04252327396671304,0.08824557427966108,0.0038600457017456285,50.0
117,COMPLETE,"[96.0, 6.284247466176179]",2025-10-11T02:40:44.214676,2025-10-11T02:48:39.823115,475.608439,0.05101053076582759,0.10575083995097681,0.008,50.0
118,COMPLETE,"[84.0, 4.787985173761239]",2025-10-11T02:48:39.834124,2025-10-11T02:56:35.486371,475.652247,0.028444593729157888,0.38477784217984967,0.008,50.0
119,COMPLETE,"[150.0, 5.494974920671623]",2025-10-11T02:56:35.497381,2025-10-11T03:04:31.016663,475.519282,0.04217387643793023,0.08807174009038249,0.0036303098633369527,50.0
120,COMPLETE,"[134.0, 5.768553976274951]",2025-10-11T03:04:31.029675,2025-10-11T03:12:26.625750,475.596075,0.044087738460673084,0.09117782920628613,0.005475501054649729,50.0
121,COMPLETE,"[136.0, 5.721863643972319]",2025-10-11T03:12:26.635759,2025-10-11T03:20:26.218388,479.582629,0.043934328432698594,0.08999147090029339,0.005509417899145278,50.0
122,COMPLETE,"[107.0, 6.134653058084305]",2025-10-11T03:20:26.228396,2025-10-11T03:28:22.381546,476.15315,0.05086165693421343,0.069456905716651,0.008,50.0
123,COMPLETE,"[137.0, 5.789684877159243]",2025-10-11T03:28:22.391554,2025-10-11T03:36:18.500230,476.108676,0.04381385178360506,0.0894859979667152,0.005599353719468501,50.0
124,COMPLETE,"[156.0, 4.916597071893445]",2025-10-11T03:36:18.512240,2025-10-11T03:44:15.152121,476.639881,0.03685732284746055,0.09356343653356271,0.0014458937836168812,50.0
125,COMPLETE,"[163.0, 5.225701118831171]",2025-10-11T03:44:15.163131,2025-10-11T03:52:11.561877,476.398746,0.03800545569636438,0.08353767491203948,0.0021877003986716945,50.0
126,COMPLETE,"[151.0, 5.56676679421765]",2025-10-11T03:52:11.571886,2025-10-11T04:00:06.948235,475.376349,0.041445546270792256,0.07596396540028014,0.003925488479292106,50.0
127,COMPLETE,"[154.0, 5.504747841169311]",2025-10-11T04:00:06.958243,2025-10-11T04:08:02.178566,475.220323,0.04086384550831216,0.07532217354947349,0.0035084064907015366,50.0
128,COMPLETE,"[146.0, 5.631664323027919]",2025-10-11T04:08:02.188575,2025-10-11T04:15:57.308624,475.120049,0.042648026774724124,0.07465814253401777,0.004632644462618185,50.0
