number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
89,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:46:57.150051,2025-08-29T15:47:37.103637,39.953586,0.30932701210258906,0.22469311705391506,0.002996139755171764,20.0,penalized,1.0067337357850152,,,,
90,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:47:37.113600,2025-08-29T15:48:16.907783,39.794183,0.40393447854999537,0.4938089207109404,0.006038596261993752,20.0,penalized,1.158986787468423,,,,
91,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:48:16.917792,2025-08-29T15:48:56.900988,39.983196,0.2957244682589551,0.11809815576033811,0.00786332893787383,20.0,penalized,5.3204483948791985,,,,
92,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:48:56.911998,2025-08-29T15:49:37.057335,40.145337,0.32253685155295375,0.027113896788300652,0.005703466228369544,20.0,penalized,1.0233686034671516,,,,
93,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:49:37.068345,2025-08-29T15:50:17.061806,39.993461,0.3315774985295497,0.5306500974374425,0.0072878928622927604,20.0,penalized,35.79825894351091,,,,
94,COMPLETE,"[4.0, 5.211982818237363]",2025-08-29T15:50:17.072431,2025-08-29T15:59:01.315671,524.24324,0.10488131633358477,0.18521141270689095,0.0049996240875250795,20.0,passed,0.7847216648069238,4.0,2.0,6.0,5.211982818237363
95,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:59:01.325679,2025-08-29T15:59:41.257739,39.93206,0.42101964927723473,0.33729563820005093,0.003985620121967853,20.0,penalized,1.0409109445115585,,,,
96,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:59:41.267748,2025-08-29T16:00:21.260881,39.993133,0.3767042545749269,0.184192529789343,0.007320822976500409,20.0,penalized,1.0063056975176279,,,,
97,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:00:21.270950,2025-08-29T16:01:01.254768,39.983818,0.16407912396768803,0.21054413195197863,0.005650823023820563,20.0,penalized,2.5700586212243284,,,,
98,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:01:01.264714,2025-08-29T16:01:41.256109,39.991395,0.19057011766053622,0.27616888919690286,0.002194897624439364,20.0,penalized,6.208439517070565,,,,
99,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:01:41.266138,2025-08-29T16:02:21.090747,39.824609,0.3766405884060924,0.23692464692673249,0.0037110392743287686,20.0,penalized,1.0056590814390463,,,,
100,COMPLETE,"[3.0, 4.169918053967802]",2025-08-29T16:02:21.101880,2025-08-29T16:11:05.132594,524.030714,0.06104004227539345,0.22692366020425755,0.007893288717862927,20.0,passed,0.8451912946670637,3.0,1.0,4.0,4.169918053967802
101,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:11:05.143602,2025-08-29T16:11:45.102252,39.95865,0.3260905267756802,0.19809576727046851,0.004494554573151123,20.0,penalized,1.0066292859084538,,,,
102,COMPLETE,"[3.0, 2.659901206787651]",2025-08-29T16:11:45.112715,2025-08-29T16:20:29.298430,524.185715,0.018223532925224828,0.3925387638809066,0.006950150919521272,20.0,passed,0.8747232911238414,3.0,1.0,4.0,2.659901206787651
103,COMPLETE,"[-5.0, -5.0]",2025-08-29T16:20:29.310441,2025-08-29T16:21:09.341919,40.031478,0.40000810868335385,0.1653924737340147,0.004787441900423588,20.0,penalized,1.0055125925673167,,,,
104,COMPLETE,"[4.0, 4.648638959343897]",2025-08-29T16:21:09.353929,2025-08-29T16:29:52.459450,523.105521,0.07667693687583776,0.2729963333849318,0.007650703756295606,20.0,passed,0.8343814003288889,4.0,1.0,5.0,4.648638959343897
