number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
78,PRUNED,,2025-07-21T03:15:39.828140,2025-07-21T03:23:35.982367,476.154227,0.15193735281414916,0.01,0.001,28.791858522986473,,,
79,PRUNED,,2025-07-21T03:23:35.992646,2025-07-21T03:31:32.851699,476.859053,0.15190905147075812,0.01,0.001,27.062244921429524,,,
80,PRUNED,,2025-07-21T03:31:32.861456,2025-07-21T03:39:30.190973,477.329517,0.15179751875417616,0.01,0.001,26.08005353957451,,,
81,PRUNED,,2025-07-21T03:39:30.200842,2025-07-21T03:47:26.148832,475.94799,0.15175726553003663,0.01,0.001,26.918930030425315,,,
82,PRUNED,,2025-07-21T03:47:26.159063,2025-07-21T03:55:21.773507,475.614444,0.15179627884664598,0.01,0.001,26.818689462040155,,,
83,PRUNED,,2025-07-21T03:55:21.782766,2025-07-21T04:03:17.362805,475.580039,0.1518306474300298,0.01,0.001,29.010770609222725,,,
84,PRUNED,,2025-07-21T04:03:17.371455,2025-07-21T04:11:14.353981,476.982526,0.151880672372092,0.01,0.001,28.292486719896385,,,
85,COMPLETE,"[13.0, 1.9047000885626808]",2025-07-21T04:11:14.364010,2025-07-21T04:19:11.716601,477.352591,0.1514900493723012,0.01,0.001,25.72419421117849,102.0,115.0,uniform
86,COMPLETE,"[97.0, 3.0827985000387588]",2025-07-21T04:19:11.724872,2025-07-21T04:27:07.965734,476.240862,0.012703110147169407,0.6,0.008,50.0,1.0,98.0,uniform
87,COMPLETE,"[38.0, 1.9330618927850254]",2025-07-21T04:27:07.973867,2025-07-21T04:35:05.543311,477.569444,0.01,0.3186187198637856,0.001,20.0,1.0,39.0,uniform
88,COMPLETE,"[131.0, 4.144299872470892]",2025-07-21T04:35:05.551838,2025-07-21T04:43:03.569808,478.01797,0.022488369004420087,0.4144835137021318,0.008,50.0,1.0,132.0,uniform
89,COMPLETE,"[159.0, 5.439241595466035]",2025-07-21T04:43:03.579175,2025-07-21T04:51:01.613213,478.034038,0.035284513070485524,0.22422493252463985,0.004964857649087063,50.0,7.0,166.0,uniform
90,COMPLETE,"[123.0, 6.0058207910851085]",2025-07-21T04:51:01.621294,2025-07-21T04:58:57.757810,476.136516,0.04582540622265244,0.16413369687042836,0.008,50.0,34.0,157.0,uniform
91,COMPLETE,"[126.0, 6.107485564371421]",2025-07-21T04:58:57.765633,2025-07-21T05:06:56.278041,478.512408,0.04608425844940916,0.1564938388583194,0.008,50.0,32.0,158.0,uniform
92,COMPLETE,"[7.0, 0.0]",2025-07-21T05:06:56.286063,2025-07-21T05:14:52.578619,476.292556,0.3904239801244834,0.6,0.008,50.0,31.0,38.0,uniform
93,COMPLETE,"[197.0, 1.1931133579105733]",2025-07-21T05:14:52.586991,2025-07-21T05:22:48.617318,476.030327,0.1621792310211691,0.01,0.008,50.0,1.0,198.0,uniform
94,COMPLETE,"[197.0, 1.658323759744771]",2025-07-21T05:22:48.625932,2025-07-21T05:30:46.488270,477.862338,0.14769158322183532,0.01,0.008,50.0,1.0,198.0,uniform
95,COMPLETE,"[6.0, 0.863057778302072]",2025-07-21T05:30:46.498263,2025-07-21T05:38:44.373325,477.875062,0.36588736053090176,0.01,0.008,50.0,1.0,7.0,uniform
96,COMPLETE,"[158.0, 4.570876457005441]",2025-07-21T05:38:44.381500,2025-07-21T05:46:40.917020,476.53552,0.03593238803804985,0.2516653807626693,0.008,35.91721661264785,3.0,161.0,uniform
97,COMPLETE,"[156.0, 4.214894203615238]",2025-07-21T05:46:40.925548,2025-07-21T05:54:37.896516,476.970968,0.029351171960254635,0.2273239605895487,0.008,36.60418867467385,1.0,157.0,uniform
98,COMPLETE,"[170.0, 4.768242608013804]",2025-07-21T05:54:37.905521,2025-07-21T06:02:34.430125,476.524604,0.0556117267872315,0.20181285621405598,0.008,26.638853288171813,4.0,174.0,uniform
99,COMPLETE,"[176.0, 4.45859665211308]",2025-07-21T06:02:34.440299,2025-07-21T06:10:31.017746,476.577447,0.06812495013180613,0.19074870865978005,0.008,20.0,4.0,180.0,uniform
100,COMPLETE,"[176.0, 4.50381897300372]",2025-07-21T06:10:31.025938,2025-07-21T06:18:28.695144,477.669206,0.0716912014903274,0.2412041953649692,0.008,20.0,3.0,179.0,uniform
101,COMPLETE,"[175.0, 5.028000910373833]",2025-07-21T06:18:28.707026,2025-07-21T06:26:26.304474,477.597448,0.08593017053743024,0.17972345283833127,0.008,20.0,7.0,182.0,uniform
102,COMPLETE,"[165.0, 5.246728335256555]",2025-07-21T06:26:26.312522,2025-07-21T06:34:26.208280,479.895758,0.09740805322682736,0.21890790225051238,0.008,20.0,16.0,181.0,uniform
103,COMPLETE,"[171.0, 5.387000498541806]",2025-07-21T06:34:26.215780,2025-07-21T06:42:24.301938,478.086158,0.09907866306038172,0.145090117811982,0.008,20.0,13.0,184.0,uniform
104,COMPLETE,"[165.0, 5.4313031792026765]",2025-07-21T06:42:24.310430,2025-07-21T06:50:22.906134,478.595704,0.07693674309229087,0.18774208410639354,0.008,25.655925689517268,14.0,179.0,uniform
105,COMPLETE,"[177.0, 4.619018724784853]",2025-07-21T06:50:22.915021,2025-07-21T06:58:20.072055,477.157034,0.07369773632747241,0.16986851558648286,0.008,20.0,3.0,180.0,uniform
106,COMPLETE,"[134.0, 5.810374153476353]",2025-07-21T06:58:20.080515,2025-07-21T07:06:16.379050,476.298535,0.08924377261155568,0.15812070338105422,0.008,25.953409125338613,44.0,178.0,uniform
107,COMPLETE,"[82.0, 6.080504156412397]",2025-07-21T07:06:16.388306,2025-07-21T07:14:13.248103,476.859797,0.07885935088109504,0.145076095836182,0.008,33.03150234829654,91.0,173.0,uniform
108,COMPLETE,"[173.0, 4.671413335862706]",2025-07-21T07:14:13.256872,2025-07-21T07:22:09.997602,476.74073,0.06440543110626573,0.20908160805512516,0.008,23.065224388437194,5.0,178.0,uniform
109,COMPLETE,"[125.0, 6.098569442742771]",2025-07-21T07:22:10.005060,2025-07-21T07:30:07.320657,477.315597,0.05936342628024845,0.14799158258968137,0.008,39.70001479261286,41.0,166.0,uniform
110,COMPLETE,"[151.0, 3.7236522874178615]",2025-07-21T07:30:07.330442,2025-07-21T07:38:07.042849,479.712407,0.03442963566645081,0.4701639283998573,0.008,30.031282927071352,1.0,152.0,uniform
111,COMPLETE,"[159.0, 4.230150408574779]",2025-07-21T07:38:07.051565,2025-07-21T07:46:03.393012,476.341447,0.0589052905532126,0.564097275029311,0.008,24.966698702034638,4.0,163.0,uniform
112,COMPLETE,"[141.0, 4.455746347953733]",2025-07-21T07:46:03.401474,2025-07-21T07:54:01.661550,478.260076,0.03880947586359811,0.6,0.008,38.12040480809139,2.0,143.0,uniform
113,COMPLETE,"[125.0, 3.5346531241946]",2025-07-21T07:54:01.669049,2025-07-21T08:01:58.853026,477.183977,0.09508576109692872,0.03442997633689481,0.001,20.0,4.0,129.0,uniform
114,COMPLETE,"[170.0, 3.7790328927527943]",2025-07-21T08:01:58.861657,2025-07-21T08:09:56.774166,477.912509,0.03521596077548695,0.04855477196383651,0.008,29.48245222643929,1.0,171.0,uniform
115,COMPLETE,"[158.0, 3.292809253203291]",2025-07-21T08:09:56.782495,2025-07-21T08:17:55.573490,478.790995,0.04814710977915719,0.6,0.008,20.0,1.0,159.0,uniform
116,COMPLETE,"[181.0, 4.983201992287894]",2025-07-21T08:17:55.581915,2025-07-21T08:25:53.043705,477.46179,0.08944582357434068,0.03990985770077252,0.008,22.050176557953936,5.0,186.0,uniform
117,COMPLETE,"[17.0, 0.0]",2025-07-21T08:25:53.051826,2025-07-21T08:33:52.398088,479.346262,0.5,0.6,0.008,20.0,62.0,79.0,uniform
118,COMPLETE,"[198.0, 0.8540960340568309]",2025-07-21T08:33:52.406549,2025-07-21T08:41:48.900360,476.493811,0.3545197565420438,0.01,0.008,29.112476275057094,1.0,199.0,uniform
119,COMPLETE,"[195.0, 1.286832025376174]",2025-07-21T08:41:48.909053,2025-07-21T08:49:48.068017,479.158964,0.3255176220722578,0.01,0.008,21.86707771880306,4.0,199.0,uniform
120,COMPLETE,"[142.0, 3.8277250160898113]",2025-07-21T08:49:48.075918,2025-07-21T08:57:46.858543,478.782625,0.04552936342841209,0.12119843494177181,0.001,30.40883853475959,2.0,144.0,uniform
121,COMPLETE,"[194.0, 1.8842914427470479]",2025-07-21T08:57:46.867553,2025-07-21T09:05:47.193577,480.326024,0.1293026614808925,0.01,0.008,50.0,3.0,197.0,uniform
122,COMPLETE,"[13.0, 0.0]",2025-07-21T09:05:47.200837,2025-07-21T09:13:49.123379,481.922542,0.5,0.01,0.001,50.0,2.0,15.0,uniform
