number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
308,106.0,3.3421674422097056,0.02964312761619531,0.5002000711050099,0.005884523604555656,0.4331340339328041,25.75833575464257,388
309,51.0,4.363752338203835,0.0657200835865795,0.2741079299398312,0.004503957254295709,0.4760733349243991,21.210137831462724,344
310,13.0,5.438871515709257,0.06946516250523027,0.24108565145126049,0.002464691757491659,0.31093910622390203,46.6994379533585,150
311,1.0,2.906207266482006,0.1503001464328992,0.13389634290796795,0.0036006440717229783,0.3450639281293179,37.16731996155673,176
312,88.0,3.186093125172765,0.015600089552382755,0.4014015269252246,0.0024490921960693786,0.3438491851897433,40.66463236801917,315
313,75.0,4.81263469299091,0.053785947817175044,0.47075213955523504,0.004503957254295709,0.46273292554254775,34.298146994547146,267
314,37.0,2.817034848064766,0.015600089552382755,0.704797149010954,0.0030785034490872494,0.3438491851897433,34.58642273427981,176
315,68.0,4.9433214680773885,0.069274461903986,0.18071454756682678,0.004503957254295709,0.4837945426144974,40.66463236801917,315
317,106.0,3.3563922919535845,0.02964312761619531,0.5883604670826516,0.004802593383394654,0.45290352602671247,25.75833575464257,388
318,162.0,2.950856535727467,0.015600089552382755,0.5883604670826516,0.005884523604555656,0.3438491851897433,37.76687573530968,387
319,26.0,4.252326216241567,0.059187361163126076,0.6974676156987538,0.002464691757491659,0.3158449143626015,43.59266276223231,150
320,13.0,0.8349834383233619,0.1184626397060445,0.2066065579973644,0.004249781967221172,0.49189025413414633,38.909085472461896,176
321,136.0,3.237034288875119,0.015600089552382755,0.44002758957555616,0.0024490921960693786,0.3438491851897433,46.6994379533585,387
322,131.0,2.4631355826022876,0.012748062481586112,0.5002000711050099,0.002955841011151792,0.47879371262673226,22.653172999102573,380
324,89.0,3.3928545534304613,0.017005257078706242,0.602565949985308,0.005914112567613271,0.4431531552026543,40.66463236801917,315
325,83.0,4.660892869583713,0.10257595580433676,0.5883604670826516,0.004305768634622887,0.42628751044724766,25.75833575464257,388
326,40.0,5.1286747070963195,0.05432498733423014,0.3275013607464429,0.0031019699567173984,0.4760733349243991,39.177358089441995,184
330,70.0,6.044097040715041,0.05374627913590356,0.08429763106162932,0.005884523604555656,0.4331340339328041,47.884114292673885,388
331,39.0,4.974211015366208,0.053785947817175044,0.47075213955523504,0.0031019699567173984,0.46273292554254775,47.89790526661749,176
332,44.0,5.204498993438725,0.059187361163126076,0.42813683286791304,0.0058111708095673256,0.4556476289153951,43.59266276223231,233
333,40.0,3.051569654107227,0.017005257078706242,0.210280192200929,0.002194273335480737,0.4431531552026543,26.472741434907093,315
334,11.0,4.896827286286855,0.069274461903986,0.3875693695463503,0.0020243702023142966,0.4837945426144974,39.177358089441995,104
336,54.0,3.307847600911814,0.017005257078706242,0.33123005228495284,0.0035615365966875086,0.4431531552026543,40.66463236801917,248
337,28.0,3.2914993079798647,0.015600089552382755,0.4014015269252246,0.002464691757491659,0.3438491851897433,46.6994379533585,150
338,58.0,3.097538374905457,0.017005257078706242,0.3875693695463503,0.0011709386839523286,0.4534358457844642,40.66463236801917,315
339,35.0,5.910692037226327,0.10215927508239338,0.15643139658483834,0.0058111708095673256,0.4431531552026543,27.383975244192847,248
340,51.0,5.530797442004629,0.05374627913590356,0.34142235979698393,0.004876008624721988,0.39250797717996455,45.54284233747276,248
341,3.0,3.6817835696523606,0.017005257078706242,0.09581885346062773,0.004305768634622887,0.4431531552026543,40.66463236801917,125
342,39.0,4.858786847656273,0.0657200835865795,0.5129446915461141,0.002955841011151792,0.42151213485124533,37.16731996155673,176
343,38.0,3.6069569510251003,0.015600089552382755,0.17957095447438087,0.0024490921960693786,0.4607867044725622,47.36823398732476,267
344,102.0,4.713102753563907,0.02964312761619531,0.33123005228495284,0.005884523604555656,0.4331340339328041,45.50633412511019,315
345,57.0,5.330420450867568,0.04278632537517113,0.3275013607464429,0.003328155538637541,0.45177534102854805,47.89790526661749,233
346,81.0,0.8418430730954898,0.1539687843365626,0.34142235979698393,0.005288612874870094,0.42628751044724766,25.75833575464257,267
347,37.0,3.7896582815510187,0.04278632537517113,0.3275013607464429,0.003118060429905457,0.4607867044725622,24.2354389689629,233
348,61.0,3.8670659051955054,0.017005257078706242,0.33123005228495284,0.004167225985881965,0.4556476289153951,45.50633412511019,233
350,114.0,2.6205996510879053,0.017005257078706242,0.5065270758871951,0.004544691304773046,0.4431531552026543,20.71017850645178,315
353,31.0,4.868559453230121,0.037761773751946934,0.2741079299398312,0.004249781967221172,0.49189025413414633,38.909085472461896,176
354,60.0,4.292134746636126,0.02964312761619531,0.5883604670826516,0.005884523604555656,0.4760733349243991,39.177358089441995,388
