number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
123,COMPLETE,"[166.0, 4.778599214170088]",2025-10-11T13:04:45.930479,2025-10-11T13:12:39.925562,473.995083,0.030629812037064164,0.2,0.003283124905809157,50.0
124,COMPLETE,"[132.0, 3.696452712657435]",2025-10-11T13:12:39.935812,2025-10-11T13:20:33.944524,474.008712,0.01473422863439761,0.2,0.008,50.0
125,COMPLETE,"[146.0, 5.635125402704729]",2025-10-11T13:20:33.955006,2025-10-11T13:28:27.195773,473.240767,0.04192713721837529,0.2,0.005709572279734934,50.0
126,COMPLETE,"[145.0, 5.685307021147825]",2025-10-11T13:28:27.206783,2025-10-11T13:36:18.535120,471.328337,0.04190290733897249,0.2,0.005744145165162641,50.0
127,COMPLETE,"[164.0, 5.235762209483927]",2025-10-11T13:36:18.545128,2025-10-11T13:44:10.823215,472.278087,0.04080231097612377,0.2,0.001758810569874853,50.0
128,COMPLETE,"[5.0, 0.0]",2025-10-11T13:44:10.833807,2025-10-11T13:52:05.450896,474.617089,0.47008889938415616,0.2,0.008,50.0
129,COMPLETE,"[144.0, 5.64920854023892]",2025-10-11T13:52:05.460905,2025-10-11T14:00:00.281129,474.820224,0.0417942483307088,0.2,0.005698409507857004,50.0
130,COMPLETE,"[148.0, 5.656175139051628]",2025-10-11T14:00:00.291104,2025-10-11T14:07:54.073373,473.782269,0.041642556310774924,0.2,0.0057484364259013316,50.0
131,COMPLETE,"[155.0, 5.57165837385942]",2025-10-11T14:07:54.083891,2025-10-11T14:15:47.829571,473.74568,0.03966234073389178,0.2,0.005009801915151168,50.0
132,COMPLETE,"[170.0, 4.79337445025359]",2025-10-11T14:15:47.840125,2025-10-11T14:23:41.739917,473.899792,0.032234612734702,0.2,0.002751991497699379,50.0
133,COMPLETE,"[149.0, 5.673534909732151]",2025-10-11T14:23:41.750588,2025-10-11T14:31:35.482847,473.732259,0.04169355814622923,0.2,0.005742196653255638,50.0
134,COMPLETE,"[171.0, 4.804795272549059]",2025-10-11T14:31:35.493654,2025-10-11T14:39:29.313925,473.820271,0.03294636477462674,0.2,0.002526524816078941,50.0
135,COMPLETE,"[147.0, 5.714899263400147]",2025-10-11T14:39:29.324461,2025-10-11T14:47:22.328162,473.003701,0.04198187363275784,0.2,0.005759775197534656,50.0
136,COMPLETE,"[154.0, 5.584682245099891]",2025-10-11T14:47:22.338170,2025-10-11T14:55:16.325138,473.986968,0.039525058167285236,0.2,0.005023810911963712,50.0
137,COMPLETE,"[154.0, 5.608125703444234]",2025-10-11T14:55:16.336149,2025-10-11T15:03:08.894548,472.558399,0.03937857619528271,0.2,0.005039654482537659,50.0
138,COMPLETE,"[171.0, 4.718423395363155]",2025-10-11T15:03:08.905128,2025-10-11T15:11:03.226659,474.321531,0.03398153367007982,0.2,0.0026488617242260105,50.0
139,COMPLETE,"[171.0, 4.915748663238324]",2025-10-11T15:11:03.237279,2025-10-11T15:18:56.866184,473.628905,0.03410828769283457,0.2,0.002495073161862279,50.0
140,COMPLETE,"[169.0, 4.870966550984401]",2025-10-11T15:18:56.876627,2025-10-11T15:26:51.744016,474.867389,0.03316991774749817,0.2,0.0023986768492229547,50.0
141,COMPLETE,"[168.0, 5.092195370717007]",2025-10-11T15:26:51.754958,2025-10-11T15:34:46.888643,475.133685,0.03724010737120844,0.2,0.0026677109959490092,50.0
142,COMPLETE,"[3.0, 0.0]",2025-10-11T15:34:46.899188,2025-10-11T15:42:41.148717,474.249529,0.42998243719896057,0.2,0.001,50.0
143,COMPLETE,"[169.0, 4.813567837292843]",2025-10-11T15:42:41.159152,2025-10-11T15:50:34.167967,473.008815,0.03323769332859617,0.2,0.002339553328854214,50.0
144,COMPLETE,"[167.0, 5.092306736768729]",2025-10-11T15:50:34.178453,2025-10-11T15:58:28.313257,474.134804,0.03732464587472936,0.2,0.0026629544315916187,50.0
145,COMPLETE,"[168.0, 5.132610517987876]",2025-10-11T15:58:28.323822,2025-10-11T16:06:21.595947,473.272125,0.0371722314811885,0.2,0.0027060383158650225,50.0
146,COMPLETE,"[169.0, 4.849256811551188]",2025-10-11T16:06:21.607412,2025-10-11T16:14:15.510175,473.902763,0.0350581240070061,0.2,0.002602638951849383,50.0
147,COMPLETE,"[38.0, 5.984289614542559]",2025-10-11T16:14:15.521186,2025-10-11T16:22:08.727479,473.206293,0.05772968609711997,0.2,0.008,50.0
148,COMPLETE,"[101.0, 5.909931815997064]",2025-10-11T16:22:08.738489,2025-10-11T16:30:01.557709,472.81922,0.04816441888555899,0.2,0.008,50.0
149,COMPLETE,"[99.0, 5.9255565859133625]",2025-10-11T16:30:01.568466,2025-10-11T16:37:53.481247,471.912781,0.048331824165918594,0.2,0.008,50.0
150,COMPLETE,"[170.0, 4.849550828046192]",2025-10-11T16:37:53.491224,2025-10-11T16:45:46.431505,472.940281,0.03506619453956518,0.2,0.0026060607762170224,50.0
151,COMPLETE,"[101.0, 5.9012034454572]",2025-10-11T16:45:46.441958,2025-10-11T16:53:38.606220,472.164262,0.048172346370398696,0.2,0.008,50.0
152,COMPLETE,"[170.0, 4.852382441753246]",2025-10-11T16:53:38.616228,2025-10-11T17:01:31.451148,472.83492,0.03513039788237287,0.2,0.0026032062394614804,50.0
153,COMPLETE,"[170.0, 4.865278750035639]",2025-10-11T17:01:31.462158,2025-10-11T17:09:23.721320,472.259162,0.035207812995792245,0.2,0.00259987369175792,50.0
154,COMPLETE,"[169.0, 4.866689467102581]",2025-10-11T17:09:23.731408,2025-10-11T17:17:16.661195,472.929787,0.035277568132507944,0.2,0.0025970940452230314,50.0
155,COMPLETE,"[170.0, 4.869472061814053]",2025-10-11T17:17:16.671851,2025-10-11T17:25:09.596698,472.924847,0.03529295081667061,0.2,0.002600011754274258,50.0
156,COMPLETE,"[170.0, 4.864418956105446]",2025-10-11T17:25:09.607700,2025-10-11T17:33:02.778318,473.170618,0.03534576340308357,0.2,0.0025978871354988406,50.0
157,COMPLETE,"[167.0, 4.886984493157888]",2025-10-11T17:33:02.789329,2025-10-11T17:40:53.552666,470.763337,0.035417588615562635,0.2,0.0025943793868907217,50.0
158,COMPLETE,"[157.0, 5.636496625918009]",2025-10-11T17:40:53.563619,2025-10-11T17:48:45.375032,471.811413,0.03901811682332609,0.2,0.00519185145281586,50.0
159,COMPLETE,"[138.0, 5.630237872440715]",2025-10-11T17:48:45.386034,2025-10-11T17:56:38.063172,472.677138,0.043622102968128636,0.2,0.005842789897567727,50.0
