number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
84,COMPLETE,[0.20363051826499542],2025-09-10T03:36:01.055595,2025-09-10T03:44:06.285073,485.229478,0.053,0.2,0.042424475016527054,50.0,86.0,24.0,110.0,5.6382510039652605
85,COMPLETE,[0.1030741456336024],2025-09-10T03:44:06.300087,2025-09-10T03:52:10.997090,484.697003,0.047308537447696614,0.2,0.05499999999999999,50.0,91.0,12.0,103.0,5.518126099298266
86,COMPLETE,[0.07815844566129447],2025-09-10T03:52:11.011103,2025-09-10T04:00:18.973022,487.961919,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
87,COMPLETE,[0.19638714219973968],2025-09-10T04:00:18.988036,2025-09-10T04:08:23.567935,484.579899,0.053,0.2,0.04231475815590549,50.0,87.0,23.0,110.0,5.659612922690142
88,COMPLETE,[0.04227238033318104],2025-09-10T04:08:23.581947,2025-09-10T04:16:27.996699,484.414752,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
89,COMPLETE,[0.21810264439201493],2025-09-10T04:16:28.009711,2025-09-10T04:24:32.491521,484.48181,0.04913013893292911,0.2,0.03,50.0,95.0,25.0,120.0,5.895603262811948
90,COMPLETE,[0.036561482723080324],2025-09-10T04:24:32.506534,2025-09-10T04:32:36.721106,484.214572,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
91,COMPLETE,[0.058046382359104004],2025-09-10T04:32:36.736120,2025-09-10T04:40:40.502292,483.766172,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
92,COMPLETE,[0.18719046477871124],2025-09-10T04:40:40.516304,2025-09-10T04:48:44.820956,484.304652,0.045,0.2,0.042352415513691496,50.0,100.0,12.0,112.0,5.709548919948303
93,COMPLETE,[0.07897378734928093],2025-09-10T04:48:44.836971,2025-09-10T04:56:49.248720,484.411749,0.049522702553859814,0.2,0.055,50.0,93.0,13.0,106.0,5.521874223244745
94,COMPLETE,[0.03925044991822224],2025-09-10T04:56:49.262732,2025-09-10T05:04:53.111977,483.849245,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
95,COMPLETE,[0.027628668110940436],2025-09-10T05:04:53.126990,2025-09-10T05:12:56.883154,483.756164,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
96,COMPLETE,[0.014936669224520504],2025-09-10T05:12:56.898167,2025-09-10T05:21:00.850505,483.952338,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
97,COMPLETE,[0.15121387972856523],2025-09-10T05:21:00.865518,2025-09-10T05:29:05.145149,484.279631,0.045,0.2,0.04227240611876747,50.0,99.0,13.0,112.0,5.694368894026431
98,COMPLETE,[0.24065289321128977],2025-09-10T05:29:05.160162,2025-09-10T05:37:09.663993,484.503831,0.051024137978294005,0.2,0.03,50.0,89.0,30.0,119.0,5.896503015142615
99,COMPLETE,[0.14603792876224914],2025-09-10T05:37:09.679006,2025-09-10T05:45:13.835527,484.156521,0.047226716261642765,0.2,0.03,50.0,100.0,21.0,121.0,5.8949532264189735
100,COMPLETE,[0.2003772934618239],2025-09-10T05:45:13.850540,2025-09-10T05:53:18.035085,484.184545,0.053,0.2,0.04279334545580523,50.0,84.0,24.0,108.0,5.6264709404241415
101,COMPLETE,[0.025538137505629735],2025-09-10T05:53:18.050099,2025-09-10T06:01:22.257664,484.207565,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
102,COMPLETE,[0.10033508119697136],2025-09-10T06:01:22.271677,2025-09-10T06:09:26.202996,483.931319,0.05035330780542094,0.2,0.055,50.0,91.0,15.0,106.0,5.493706958183047
103,COMPLETE,[0.07398373486157814],2025-09-10T06:09:26.218010,2025-09-10T06:17:30.409561,484.191551,0.04748866605529515,0.2,0.055,50.0,92.0,12.0,104.0,5.505654317844478
104,COMPLETE,[0.03752881517764333],2025-09-10T06:17:30.424575,2025-09-10T06:25:34.502024,484.077449,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
105,COMPLETE,[0.14883904376629406],2025-09-10T06:25:34.517038,2025-09-10T06:33:38.580475,484.063437,0.053,0.2,0.0423861537310178,50.0,86.0,23.0,109.0,5.634364030915945
106,COMPLETE,[0.013621400193483417],2025-09-10T06:33:38.594489,2025-09-10T06:41:42.455744,483.861255,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
107,COMPLETE,[0.02405718756930386],2025-09-10T06:41:42.469758,2025-09-10T06:49:46.879503,484.409745,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
108,COMPLETE,[0.017312642256829984],2025-09-10T06:49:46.894517,2025-09-10T06:57:51.264228,484.369711,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
109,COMPLETE,[0.0],2025-09-10T06:57:51.280242,2025-09-10T07:05:55.363697,484.083455,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
110,COMPLETE,[0.1800383216207741],2025-09-10T07:05:55.383715,2025-09-10T07:14:00.873426,485.489711,0.045,0.2,0.04224366878652904,50.0,101.0,12.0,113.0,5.685188278222778
111,COMPLETE,[0.15165220467304266],2025-09-10T07:14:00.889441,2025-09-10T07:22:05.937757,485.048316,0.048992632076331304,0.2,0.03,50.0,97.0,24.0,121.0,5.866723044723806
112,COMPLETE,[4.1972706791663464e-11],2025-09-10T07:22:05.951770,2025-09-10T07:30:10.655779,484.704009,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
113,COMPLETE,[0.009355977389349212],2025-09-10T07:30:10.671794,2025-09-10T07:38:15.203649,484.531855,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
114,COMPLETE,[0.11192135399627787],2025-09-10T07:38:15.218663,2025-09-10T07:46:19.855612,484.636949,0.0506281714285352,0.2,0.055,50.0,89.0,16.0,105.0,5.4549622084628275
115,COMPLETE,[0.12731864489014275],2025-09-10T07:46:19.870626,2025-09-10T07:54:24.872902,485.002276,0.04747326284995947,0.2,0.03,50.0,99.0,22.0,121.0,5.8971704459607235
116,COMPLETE,[0.13866957700493948],2025-09-10T07:54:24.887915,2025-09-10T08:02:29.452881,484.564966,0.053,0.2,0.03427374118250644,50.0,83.0,31.0,114.0,5.771896208523573
117,COMPLETE,[0.12964739812730597],2025-09-10T08:02:29.466893,2025-09-10T08:10:33.777551,484.310658,0.045,0.2,0.050855227602401035,50.0,95.0,11.0,106.0,5.583863166215957
118,COMPLETE,[0.2470480480242393],2025-09-10T08:10:33.791564,2025-09-10T08:18:37.859004,484.06744,0.045,0.2,0.035842962201197585,50.0,105.0,13.0,118.0,5.777558052009495
119,COMPLETE,[0.21431600195322498],2025-09-10T08:18:37.873017,2025-09-10T08:26:41.996507,484.12349,0.053,0.2,0.048605081377021485,50.0,84.0,22.0,106.0,5.499769070669308
120,COMPLETE,[0.15084086605652897],2025-09-10T08:26:42.011521,2025-09-10T08:34:45.878783,483.867262,0.053,0.2,0.035859093926323055,50.0,82.0,30.0,112.0,5.760939957730107
121,COMPLETE,[0.13890686469508573],2025-09-10T08:34:45.893797,2025-09-10T08:42:49.593909,483.700112,0.045,0.2,0.048252803703698804,50.0,95.0,12.0,107.0,5.64495202309409
122,COMPLETE,[0.14024347895657904],2025-09-10T08:42:49.608923,2025-09-10T08:50:54.062709,484.453786,0.053,0.2,0.048370829397449924,50.0,87.0,20.0,107.0,5.48223347200626
123,COMPLETE,[0.0701600230900949],2025-09-10T08:50:54.075720,2025-09-10T08:58:58.464448,484.388728,0.04756387422820271,0.2,0.055,50.0,91.0,13.0,104.0,5.5100671067096245
124,COMPLETE,[0.151483407084393],2025-09-10T08:58:58.478462,2025-09-10T09:07:02.564918,484.086456,0.04921768030511267,0.2,0.03,50.0,95.0,25.0,120.0,5.897685662251312
125,COMPLETE,[0.0609750996894137],2025-09-10T09:07:02.579931,2025-09-10T09:15:06.860563,484.280632,0.04922277978876674,0.2,0.055,50.0,92.0,13.0,105.0,5.50441799065389
126,COMPLETE,[0.011959603671529723],2025-09-10T09:15:06.875577,2025-09-10T09:23:11.027092,484.151515,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
127,COMPLETE,[0.0],2025-09-10T09:23:11.042106,2025-09-10T09:31:15.036481,483.994375,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
128,COMPLETE,[0.0],2025-09-10T09:31:15.051494,2025-09-10T09:39:19.499275,484.447781,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
129,COMPLETE,[0.0],2025-09-10T09:39:19.515289,2025-09-10T09:47:23.927038,484.411749,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
130,COMPLETE,[0.0030401161804556017],2025-09-10T09:47:23.942051,2025-09-10T09:55:29.077446,485.135395,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
131,COMPLETE,[0.0],2025-09-10T09:55:29.092459,2025-09-10T10:03:33.204940,484.112481,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
132,COMPLETE,[0.0],2025-09-10T10:03:33.219953,2025-09-10T10:11:39.337060,486.117107,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
133,COMPLETE,[0.0],2025-09-10T10:11:39.352074,2025-09-10T10:19:43.732794,484.38072,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
134,COMPLETE,[2.101098554400475e-11],2025-09-10T10:19:43.747808,2025-09-10T10:27:49.196482,485.448674,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
135,COMPLETE,[0.08698084047818014],2025-09-10T10:27:49.211496,2025-09-10T10:35:54.317864,485.106368,0.04886413519572917,0.2,0.04970361965349447,50.0,91.0,15.0,106.0,5.557935950060431
136,COMPLETE,[0.0],2025-09-10T10:35:54.331878,2025-09-10T10:43:59.700481,485.368603,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
137,COMPLETE,[0.0],2025-09-10T10:43:59.715494,2025-09-10T10:52:04.960986,485.245492,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
138,COMPLETE,[0.12410452642447592],2025-09-10T10:52:04.976000,2025-09-10T11:00:10.067355,485.091355,0.045,0.2,0.04214545241248526,50.0,100.0,13.0,113.0,5.700112862729853
139,COMPLETE,[0.0],2025-09-10T11:00:10.082369,2025-09-10T11:08:14.770365,484.687996,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
140,COMPLETE,[0.22292186922062376],2025-09-10T11:08:14.784377,2025-09-10T11:16:18.966920,484.182543,0.05101807357834569,0.2,0.03,50.0,89.0,30.0,119.0,5.8951831231301535
141,COMPLETE,[0.0700434716389205],2025-09-10T11:16:18.981934,2025-09-10T11:24:23.689947,484.708013,0.0470132120594845,0.2,0.055,50.0,93.0,12.0,105.0,5.5407634619901405
142,COMPLETE,[0.0],2025-09-10T11:24:23.704960,2025-09-10T11:32:28.320891,484.615931,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
143,COMPLETE,[0.0],2025-09-10T11:32:28.336905,2025-09-10T11:40:32.818716,484.481811,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
