number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
249,COMPLETE,[0.05017694033983831],2025-09-12T19:49:20.247283,2025-09-12T19:57:26.640802,486.393519,0.046199090336004126,0.2,0.035822247797542575,50.0,100.0,16.0,116.0,5.7573215713648915
250,COMPLETE,[0.07955454589125215],2025-09-12T19:57:26.654815,2025-09-12T20:05:33.256520,486.601705,0.05135498615575774,0.2,0.035337492108369395,50.0,89.0,26.0,115.0,5.822503832646213
251,COMPLETE,[0.0343482865370656],2025-09-12T20:05:33.271533,2025-09-12T20:13:39.674060,486.402527,0.047806747228099224,0.2,0.04739461981484126,50.0,94.0,15.0,109.0,5.661332711265775
252,COMPLETE,[0.07250326106877285],2025-09-12T20:13:39.688073,2025-09-12T20:21:46.531993,486.84392,0.04932632514789739,0.2,0.03818820446923071,50.0,95.0,18.0,113.0,5.796841473809506
253,COMPLETE,[0.06723019998186626],2025-09-12T20:21:46.546007,2025-09-12T20:29:52.698309,486.152302,0.05083183815263268,0.2,0.043038227768334894,50.0,88.0,21.0,109.0,5.696216366679137
254,COMPLETE,[0.08618803813310102],2025-09-12T20:29:52.713322,2025-09-12T20:37:58.934688,486.221366,0.04860863285914024,0.2,0.032232143867533876,50.0,99.0,20.0,119.0,5.84897442803028
255,COMPLETE,[0.0667091258536549],2025-09-12T20:37:58.949701,2025-09-12T20:46:05.008920,486.059219,0.04938503444039351,0.2,0.037768244294781976,50.0,93.0,20.0,113.0,5.7610009707657905
256,COMPLETE,[0.06916786232290616],2025-09-12T20:46:05.024935,2025-09-12T20:54:11.190250,486.165315,0.0475292119591336,0.2,0.04103426183892417,50.0,95.0,17.0,112.0,5.760552973670024
257,COMPLETE,[0.06260731707111161],2025-09-12T20:54:11.205264,2025-09-12T21:02:17.283501,486.078237,0.04920330222587112,0.2,0.03746144775002537,50.0,95.0,18.0,113.0,5.763681964621572
258,COMPLETE,[0.06828656826267836],2025-09-12T21:02:17.298514,2025-09-12T21:10:22.800236,485.501722,0.048968379597047224,0.2,0.0339250324071098,50.0,95.0,22.0,117.0,5.810860754570051
259,COMPLETE,[0.0657530173915751],2025-09-12T21:10:22.816250,2025-09-12T21:18:28.581207,485.764957,0.05031309665409073,0.2,0.03568298602714064,50.0,91.0,22.0,113.0,5.792111328073519
260,COMPLETE,[0.04756172387140473],2025-09-12T21:18:28.597222,2025-09-12T21:26:34.706487,486.109265,0.048388507657450175,0.2,0.04780590569244601,50.0,92.0,17.0,109.0,5.642689529013444
261,COMPLETE,[0.05507890850804709],2025-09-12T21:26:34.722501,2025-09-12T21:34:40.507476,485.784975,0.05172903760254352,0.2,0.049690515503266655,50.0,89.0,18.0,107.0,5.537753431341264
262,COMPLETE,[0.07044496772981651],2025-09-12T21:34:40.521490,2025-09-12T21:42:46.550682,486.029192,0.04864265282447693,0.2,0.033421783818274625,50.0,96.0,21.0,117.0,5.876226271252744
263,COMPLETE,[0.04780206491168951],2025-09-12T21:42:46.566696,2025-09-12T21:50:52.592887,486.026191,0.04623610359947343,0.2,0.035514740067204176,50.0,99.0,18.0,117.0,5.775726114070588
264,COMPLETE,[0.046327451959099375],2025-09-12T21:50:52.607900,2025-09-12T21:58:59.061473,486.453573,0.04625734636046868,0.2,0.047246157098091705,50.0,95.0,13.0,108.0,5.63163515118309
265,COMPLETE,[0.0803939955691994],2025-09-12T21:58:59.076486,2025-09-12T22:07:04.848450,485.771964,0.05216223819566839,0.2,0.03366116014830406,50.0,84.0,31.0,115.0,5.820347198238319
