number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
55,COMPLETE,"[127.0, 3.191983937592012]",2025-07-24T06:25:56.274924,2025-07-24T06:37:00.278793,664.003869,0.01,0.11781392471121419,0.008,50.0,7,0.0,0.01,0.01,0.287852997628138,0.47553378215430836,0.1986627232253141,0.3895492807709879,0.8728171758157173,1.0,128.0,random,"[0.004455502090533548, 0.004455502090533548, 0.1282529632698517, 0.21187417605078454, 0.08851421786414744, 0.17356376348409763, 0.3888838751500515]"
56,COMPLETE,"[122.0, 3.300249328873919]",2025-07-24T06:37:00.289803,2025-07-24T06:48:02.820710,662.530907,0.01,0.164481289701618,0.008,50.0,7,0.0,0.01,0.560427178258447,0.2211841498980774,0.4864060820336405,0.17028011708942856,0.5907510464209614,0.392971815102114,1.0,123.0,random,"[0.004111807633702938, 0.23043687496976795, 0.09094666760050095, 0.20000082411854603, 0.07001590853161424, 0.24290546622917078, 0.16158245091669715]"
57,COMPLETE,"[123.0, 3.3443367123337477]",2025-07-24T06:48:02.832721,2025-07-24T06:59:07.655821,664.8231,0.01,0.1719715051771647,0.005945811672066941,50.0,7,0.0,0.01,0.29811790347806694,0.19432530993558333,0.9549192939625143,0.5546790520022375,0.07931677531451314,0.8103127778900853,1.0,124.0,random,"[0.0034462899522400493, 0.1027400735339331, 0.06697013630969342, 0.3290928767983175, 0.1911584843633347, 0.027334860581048823, 0.2792572784614324]"
58,COMPLETE,"[122.0, 3.207762200427272]",2025-07-24T06:59:07.666830,2025-07-24T07:10:11.542721,663.875891,0.01,0.11925216420065883,0.00746595536315705,50.0,7,0.0,0.3422763451415806,0.01,0.2598882744660504,0.487243062467984,0.4512188710818546,0.8687874966499174,0.06711633364415873,1.0,123.0,random,"[0.13765218692661532, 0.004021668131044122, 0.10451843910521624, 0.19595298963998312, 0.18146525539556005, 0.3493974987926574, 0.02699196200892375]"
59,COMPLETE,"[95.0, 3.118781911563886]",2025-07-24T07:10:11.553730,2025-07-24T07:21:18.325716,666.771986,0.01,0.14171309276548705,0.0021264959779718927,50.0,7,0.0,0.01,0.01,0.01,0.6218061556121015,0.8525750759789046,0.9277239747577778,0.39609644862861315,1.0,96.0,random,"[0.0035358157656123425, 0.0035358157656123425, 0.0035358157656123425, 0.21985920081680702, 0.30145483950143515, 0.32802610560850975, 0.14005240677641098]"
60,COMPLETE,"[124.0, 3.305435536880486]",2025-07-24T07:21:18.336725,2025-07-24T07:32:24.195580,665.858855,0.01,0.10830346097413583,0.006836110635053696,50.0,7,0.0,0.01,0.01,0.27386634703208607,0.4673396208787511,0.0631850656733992,0.4996641804969161,0.8245038813236717,1.0,125.0,random,"[0.0046542820355219665, 0.0046542820355219665, 0.12746512191254628, 0.21751304019436177, 0.029408111607697754, 0.2325578019080602, 0.3837473603062901]"
61,COMPLETE,"[121.0, 3.366068467714631]",2025-07-24T07:32:24.206590,2025-07-24T07:42:30.594329,606.387739,0.01,0.19854101018759132,0.0058444959664723,50.0,5,0.0,0.01,0.38114228143574475,0.5279311279936872,0.07770308531299121,0.4045361566744614,,,1.0,122.0,random,"[0.007136166215218907, 0.2719894671973218, 0.37674042795509594, 0.05545021322288403, 0.2886837254094794]"
62,COMPLETE,"[120.0, 3.168557291344606]",2025-07-24T07:42:30.606340,2025-07-24T07:53:34.706796,664.100456,0.01,0.22108224557600886,0.0046281363134744215,50.0,7,0.0,0.01,0.49190745828039356,1.0,0.42846022982901877,0.7625136762499908,0.44505682845031785,0.5375375304943693,1.0,121.0,random,"[0.002720736240099674, 0.13383504485187853, 0.27207362400996743, 0.11657272747372467, 0.207459859254498, 0.12108822420686034, 0.14624978396297142]"
63,COMPLETE,"[131.0, 3.260121783044275]",2025-07-24T07:53:34.718806,2025-07-24T08:02:51.821424,557.102618,0.01,0.05517438329622117,0.008,50.0,3,0.0,0.01,0.01,0.01,,,,,1.0,132.0,random,"[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
64,COMPLETE,"[73.0, 2.6951390865971585]",2025-07-24T08:02:51.833435,2025-07-24T08:12:07.964674,556.131239,0.01,0.01,0.008,50.0,3,0.0,0.01,0.7253174292717343,0.01,,,,,1.0,74.0,random,"[0.013417102039021436, 0.9731657959219571, 0.013417102039021436]"
